player,team,AVG,G,PA,AB,H,HR,RBI,SB,BB,HBP,SO,SH,GDP,OBP,SLG,OPS,RC27,XR27,year
甲斐　拓也,ソフトバンク,0.213,133,363,314,67,7,37,2,26,0,79,23,6,0.274,0.328,0.602,2.71,2.75,2018
栗山　巧,西武,0.256,114,363,305,78,8,52,1,52,3,78,0,5,0.366,0.4,0.766,5.52,5.51,2018
嶋　基宏,楽天,0.206,113,361,315,65,0,21,2,30,1,89,15,3,0.277,0.251,0.528,2.14,2.17,2018
西川　龍馬,広島,0.309,107,361,327,101,6,46,5,27,2,51,4,4,0.364,0.45,0.814,6.04,5.72,2018
金子　侑司,西武,0.223,111,356,310,69,1,34,32,34,3,53,6,5,0.303,0.274,0.577,2.97,3.13,2018
吉川　尚輝,巨人,0.253,92,355,316,80,4,29,11,19,5,61,13,5,0.304,0.361,0.665,3.71,3.68,2018
平沢　大河,ロッテ,0.213,112,353,291,62,5,32,8,48,3,82,8,1,0.328,0.33,0.657,4.09,4.22,2018
荻野　貴司,ロッテ,0.287,78,351,317,91,2,25,20,13,9,25,9,6,0.33,0.372,0.703,4.43,4.34,2018
ペゲーロ,楽天,0.233,88,348,309,72,17,44,1,36,2,120,0,8,0.316,0.427,0.743,4.49,4.56,2018
福田　周平,オリックス,0.264,113,345,295,78,1,15,16,31,3,33,16,2,0.34,0.329,0.669,4.00,3.93,2018
川端　慎吾,ヤクルト,0.259,97,334,297,77,3,31,1,32,3,37,1,11,0.336,0.327,0.663,3.74,3.71,2018
Ｔ－岡田,オリックス,0.225,97,333,298,67,13,43,2,31,2,82,0,9,0.3,0.393,0.693,3.71,3.83,2018
アルシア,日本ハム,0.222,89,324,284,63,14,43,0,30,9,92,0,6,0.315,0.405,0.72,4.19,4.34,2018
ゲレーロ,巨人,0.244,82,323,287,70,15,40,2,29,6,62,0,8,0.325,0.46,0.785,4.86,4.90,2018
小林　誠司,巨人,0.219,119,313,265,58,2,26,0,27,4,58,16,8,0.3,0.275,0.575,2.54,2.55,2018
清田　育宏,ロッテ,0.226,96,303,261,59,2,27,2,32,0,63,6,8,0.306,0.295,0.601,2.84,2.98,2018
若月　健矢,オリックス,0.245,114,302,269,66,1,27,1,7,2,80,23,6,0.269,0.305,0.574,2.39,2.36,2018
バティスタ,広島,0.242,99,302,273,66,25,55,0,26,1,81,0,6,0.308,0.546,0.854,5.57,5.75,2018
ロサリオ,阪神,0.242,75,302,281,68,8,40,0,17,1,71,0,12,0.285,0.374,0.658,3.09,3.20,2018
陽川　尚将,阪神,0.252,75,299,274,69,6,48,5,17,7,76,0,7,0.311,0.412,0.723,4.41,4.32,2018
内川　聖一,ソフトバンク,0.242,71,296,281,68,8,30,1,9,3,32,0,6,0.27,0.367,0.637,3.19,3.31,2018
藤田　一也,楽天,0.266,90,289,248,66,4,16,0,18,4,15,17,4,0.324,0.363,0.686,3.83,3.82,2018
宗　佑磨,オリックス,0.233,74,289,266,62,5,22,3,15,3,53,4,1,0.281,0.372,0.653,3.61,3.59,2018
陽　岱鋼,巨人,0.245,87,276,253,62,10,37,2,17,2,72,3,7,0.297,0.427,0.724,3.99,4.02,2018
神里　和毅,DeNA,0.251,86,273,247,62,5,21,15,19,3,68,4,4,0.312,0.393,0.705,3.95,3.89,2018
北條　史也,阪神,0.322,62,266,239,77,1,20,1,19,1,32,4,7,0.37,0.377,0.747,5.12,5.00,2018
柴田　竜拓,DeNA,0.219,113,265,224,49,3,13,2,30,5,45,6,3,0.324,0.286,0.61,3.36,3.42,2018
牧原　大成,ソフトバンク,0.317,59,264,249,79,3,26,9,8,2,33,3,2,0.341,0.434,0.775,5.59,5.36,2018
鳥谷　敬,阪神,0.232,121,261,220,51,1,22,1,34,1,37,3,6,0.333,0.295,0.629,3.46,3.54,2018
田中　俊太,巨人,0.241,99,261,228,55,2,12,6,23,0,41,10,7,0.311,0.32,0.631,3.32,3.29,2018
鶴岡　慎也,日本ハム,0.243,101,260,239,58,2,22,1,14,3,45,4,5,0.293,0.305,0.598,2.88,2.85,2018
松井　雅人,中日,0.229,92,260,218,50,2,22,0,30,2,51,7,5,0.324,0.298,0.622,3.36,3.40,2018
小谷野　栄一,オリックス,0.209,70,258,230,48,1,17,0,22,2,41,4,4,0.283,0.261,0.544,2.38,2.41,2018
安部　友裕,広島,0.236,72,252,220,52,4,24,7,21,2,60,7,1,0.306,0.377,0.683,4.22,4.21,2018
中島　宏之,オリックス,0.289,77,251,225,65,5,34,0,21,3,38,1,8,0.356,0.387,0.743,4.78,4.68,2018
中谷　将大,阪神,0.23,77,246,222,51,5,26,0,17,2,65,1,5,0.287,0.342,0.629,3.11,3.27,2018
マレーロ,オリックス,0.201,68,245,219,44,11,26,1,24,1,68,0,5,0.282,0.416,0.697,3.79,3.94,2018
植田　海,阪神,0.192,104,243,198,38,0,1,19,25,2,55,18,5,0.289,0.197,0.486,2.10,2.22,2018
清水　優心,日本ハム,0.215,86,242,200,43,7,21,0,18,3,51,20,4,0.288,0.355,0.643,3.06,3.19,2018
岡島　豪郎,楽天,0.19,108,241,216,41,3,15,1,22,0,54,3,4,0.265,0.287,0.552,2.25,2.33,2018
倉本　寿彦,DeNA,0.232,85,235,228,53,1,14,1,6,0,51,0,5,0.251,0.276,0.527,1.85,1.91,2018
メヒア,西武,0.212,82,234,212,45,9,21,0,18,3,62,0,3,0.282,0.373,0.655,3.51,3.69,2018
アマダー,楽天,0.269,62,234,212,57,20,42,1,22,0,57,0,8,0.338,0.58,0.918,6.40,6.42,2018
嶺井　博希,DeNA,0.177,91,230,209,37,5,25,0,6,8,56,6,9,0.228,0.282,0.51,1.37,1.53,2018
ナバーロ,阪神,0.276,66,225,203,56,3,25,0,20,1,55,0,5,0.342,0.374,0.717,4.55,4.45,2018
阿部　慎之助,巨人,0.247,95,223,198,49,11,46,0,21,2,55,1,6,0.324,0.444,0.769,4.76,4.84,2018
横尾　俊建,日本ハム,0.207,74,210,193,40,9,24,0,9,4,45,2,5,0.255,0.358,0.612,2.65,2.96,2018
西野　真弘,オリックス,0.293,60,207,188,55,0,16,7,12,0,28,6,5,0.333,0.378,0.711,4.25,4.06,2018
亀澤　恭平,中日,0.286,110,206,185,53,0,8,5,17,1,21,3,2,0.35,0.319,0.669,4.22,4.09,2018
大城　卓三,巨人,0.265,83,202,185,49,4,17,0,15,0,46,2,3,0.32,0.395,0.715,4.33,4.14,2018
グラシアル,ソフトバンク,0.292,54,202,185,54,9,30,1,15,1,34,0,8,0.347,0.481,0.828,5.50,5.46,2018
伏見　寅威,オリックス,0.274,76,201,186,51,1,17,0,12,2,39,1,6,0.325,0.376,0.701,4.07,3.84,2018
俊介,阪神,0.224,87,200,183,41,2,21,1,11,0,29,6,4,0.268,0.295,0.563,2.41,2.43,2018
福浦　和也,ロッテ,0.21,82,196,181,38,1,11,0,10,2,34,0,4,0.256,0.249,0.505,1.80,1.98,2018
内田　靖人,楽天,0.198,58,193,177,35,12,25,0,14,1,66,0,4,0.259,0.435,0.694,3.46,3.73,2018
重信　慎之介,巨人,0.281,60,185,167,47,2,13,6,11,0,38,6,1,0.324,0.419,0.743,4.67,4.56,2018
渡邉　諒,日本ハム,0.242,60,183,161,39,7,14,1,11,2,43,8,7,0.297,0.416,0.713,3.64,3.72,2018
清宮　幸太郎,日本ハム,0.2,53,180,160,32,7,18,0,16,3,60,0,1,0.283,0.381,0.665,3.72,3.91,2018
伊藤　隼太,阪神,0.247,96,172,150,37,1,13,0,20,0,41,2,1,0.335,0.34,0.675,4.29,4.21,2018
大野　奨太,中日,0.197,63,167,137,27,2,10,0,20,1,31,9,2,0.304,0.299,0.603,3.03,3.07,2018
岡　大海,ロッテ,0.204,51,166,142,29,3,13,7,15,5,30,2,3,0.299,0.303,0.602,3.10,3.35,2018
小田　裕也,オリックス,0.287,90,164,143,41,2,15,10,12,3,38,3,4,0.348,0.378,0.725,4.79,4.87,2018
石井　一成,日本ハム,0.189,69,163,148,28,1,4,3,12,1,47,2,0,0.255,0.277,0.532,2.41,2.48,2018
藤井　淳志,中日,0.241,96,162,145,35,3,30,0,12,0,36,0,1,0.29,0.359,0.649,3.73,4.04,2018
菅野　剛士,ロッテ,0.176,53,161,131,23,2,18,1,20,5,27,4,4,0.306,0.275,0.581,2.75,2.98,2018
畠山　和洋,ヤクルト,0.248,75,155,129,32,5,27,0,26,0,23,0,4,0.374,0.411,0.785,5.49,5.45,2018
髙田　知季,ソフトバンク,0.188,74,153,133,25,2,15,2,12,2,36,6,2,0.265,0.286,0.551,2.39,2.50,2018
川島　慶三,ソフトバンク,0.268,91,152,142,38,3,16,2,7,0,31,0,2,0.296,0.366,0.662,3.90,4.07,2018
伊藤　光,DeNA,0.195,47,151,128,25,1,11,1,18,3,29,0,5,0.305,0.258,0.562,2.40,2.66,2018
松本　剛,日本ハム,0.222,54,139,126,28,1,9,2,6,1,14,5,5,0.261,0.302,0.563,2.08,2.16,2018
梶谷　隆幸,DeNA,0.268,41,137,127,34,8,18,5,8,2,21,0,1,0.321,0.52,0.841,5.99,5.91,2018
大引　啓次,ヤクルト,0.35,47,136,123,43,5,15,0,10,0,30,3,3,0.398,0.512,0.911,6.96,6.58,2018
炭谷　銀仁朗,西武,0.248,47,135,129,32,0,9,0,2,1,30,3,3,0.265,0.31,0.575,2.44,2.31,2018
髙山　俊,阪神,0.172,45,134,128,22,1,14,0,4,1,22,0,4,0.201,0.234,0.436,0.68,0.87,2018
加藤　翔平,ロッテ,0.231,69,132,121,28,0,9,7,5,1,25,4,3,0.266,0.314,0.58,2.83,2.82,2018
新井　貴浩,広島,0.219,63,132,114,25,4,24,0,14,0,26,0,4,0.295,0.368,0.664,3.45,3.87,2018
佐野　恵太,DeNA,0.23,73,130,126,29,5,14,1,3,0,26,0,3,0.246,0.381,0.627,2.94,3.10,2018
杉谷　拳士,日本ハム,0.231,70,130,104,24,3,9,4,12,6,20,6,2,0.339,0.356,0.694,4.11,4.34,2018
福田　秀平,ソフトバンク,0.263,110,128,118,31,7,15,6,4,2,35,4,6,0.298,0.492,0.79,4.43,4.42,2018
廣岡　大志,ヤクルト,0.209,45,125,115,24,2,10,0,5,0,36,4,2,0.24,0.313,0.553,2.15,2.26,2018
原口　文仁,阪神,0.315,82,124,111,35,2,19,0,8,5,27,0,1,0.387,0.387,0.774,6.08,5.86,2018
田中　賢介,日本ハム,0.295,67,124,105,31,0,8,0,18,0,14,1,0,0.398,0.324,0.722,5.55,5.38,2018
木村　文紀,西武,0.26,75,120,104,27,3,12,7,10,1,33,5,0,0.33,0.413,0.744,4.83,4.77,2018
山本　泰寛,巨人,0.255,38,120,102,26,0,3,2,13,2,19,3,2,0.35,0.314,0.664,4.19,4.09,2018
オコエ　瑠偉,楽天,0.198,44,117,111,22,2,6,2,2,1,23,3,3,0.219,0.333,0.553,1.66,1.71,2018
明石　健志,ソフトバンク,0.282,45,115,103,29,1,12,2,11,1,21,0,0,0.357,0.417,0.774,5.80,5.53,2018
西田　哲朗,ソフトバンク,0.211,72,113,109,23,4,16,3,1,0,37,2,1,0.216,0.349,0.565,2.44,2.65,2018
長谷川　勇也,ソフトバンク,0.287,55,112,101,29,5,20,0,9,1,18,0,3,0.348,0.495,0.843,5.93,5.79,2018
渡辺　直人,楽天,0.208,69,111,96,20,2,12,0,11,2,19,2,1,0.303,0.365,0.667,3.82,3.86,2018
乙坂　智,DeNA,0.204,73,109,93,19,0,7,3,12,0,22,2,0,0.29,0.226,0.516,2.18,2.50,2018
荒木　貴裕,ヤクルト,0.218,62,109,87,19,3,21,3,13,4,27,3,2,0.34,0.356,0.696,4.41,4.71,2018
岡田　雅利,西武,0.272,52,108,92,25,3,7,0,7,1,17,7,3,0.327,0.402,0.729,3.95,4.02,2018
武田　健吾,オリックス,0.221,69,107,95,21,1,12,0,2,2,20,5,2,0.245,0.316,0.561,2.26,2.56,2018
石原　慶幸,広島,0.177,58,107,96,17,1,7,0,5,1,27,4,4,0.223,0.219,0.442,0.80,0.99,2018
山崎　勝己,オリックス,0.207,81,104,92,19,0,5,0,4,0,21,8,2,0.24,0.25,0.49,1.36,1.37,2018
斉藤　彰吾,西武,0.241,59,104,87,21,1,8,4,8,4,28,4,2,0.33,0.333,0.663,3.83,3.89,2018
山下　斐紹,楽天,0.198,43,104,96,19,2,9,0,5,0,22,1,2,0.233,0.292,0.525,1.88,2.20,2018
宮﨑　祐樹,オリックス,0.238,33,102,84,20,3,8,1,14,3,22,1,2,0.366,0.381,0.747,5.13,5.16,2018
上田　剛史,ヤクルト,0.224,102,101,85,19,1,7,2,8,1,12,7,1,0.298,0.318,0.616,3.09,3.06,2018
モヤ,中日,0.301,46,101,93,28,3,16,0,6,1,25,0,1,0.347,0.441,0.787,5.48,5.41,2018
本多　雄一,ソフトバンク,0.259,33,101,85,22,1,8,5,8,0,17,5,1,0.313,0.376,0.689,4.23,4.48,2018
淺間　大基,日本ハム,0.239,31,99,88,21,3,7,1,10,1,18,0,2,0.323,0.409,0.732,4.41,4.37,2018
中井　大介,巨人,0.186,70,97,86,16,1,6,0,6,2,25,3,3,0.255,0.279,0.534,1.82,1.87,2018
井野　卓,ヤクルト,0.144,47,97,90,13,0,4,0,5,0,26,2,2,0.189,0.178,0.367,0.21,0.35,2018
エルドレッド,広島,0.213,38,94,80,17,5,14,0,11,3,19,0,3,0.33,0.513,0.842,5.38,5.32,2018
ドミンゲス,ロッテ,0.19,37,93,84,16,7,16,0,6,3,18,0,0,0.269,0.488,0.757,4.66,4.87,2018
西村　凌,オリックス,0.193,31,93,88,17,2,8,2,3,0,27,1,1,0.217,0.307,0.524,2.01,2.21,2018
石川　雄洋,DeNA,0.23,41,91,74,17,0,7,5,11,0,19,4,1,0.322,0.243,0.565,2.74,3.08,2018
磯村　嘉孝,広島,0.215,37,91,79,17,1,4,0,6,1,12,5,4,0.279,0.278,0.558,1.96,1.98,2018
下水流　昂,広島,0.263,67,89,80,21,4,12,0,7,0,25,2,5,0.322,0.425,0.747,3.65,3.73,2018
荒木　雅博,中日,0.268,52,84,82,22,1,3,0,1,0,13,1,2,0.277,0.378,0.655,2.95,2.81,2018
山﨑　剛,楽天,0.232,33,84,82,19,0,7,4,1,0,13,1,2,0.241,0.341,0.582,2.51,2.44,2018
楠本　泰史,DeNA,0.205,56,82,73,15,0,2,2,6,3,19,0,0,0.293,0.247,0.539,2.62,2.70,2018
西巻　賢二,楽天,0.247,25,82,77,19,0,3,0,3,0,18,2,1,0.275,0.286,0.561,2.51,2.45,2018
髙城　俊人,DeNA,0.136,28,75,66,9,0,3,2,2,2,25,4,1,0.183,0.152,0.335,0.23,0.54,2018
白崎　浩之,オリックス,0.239,30,73,67,16,1,9,0,3,2,20,0,1,0.288,0.358,0.646,3.50,3.56,2018
山足　達也,オリックス,0.167,25,72,60,10,1,7,2,7,3,15,2,2,0.286,0.25,0.536,2.27,2.43,2018
枡田　慎太郎,楽天,0.177,33,70,62,11,3,13,0,6,1,14,0,2,0.257,0.387,0.644,2.95,3.21,2018
聖澤　諒,楽天,0.194,27,69,62,12,0,2,1,4,1,18,2,1,0.254,0.21,0.463,1.51,1.61,2018
マルティネス,巨人,0.18,19,66,61,11,2,5,1,5,0,27,0,0,0.242,0.344,0.587,2.82,2.93,2018
山下　幸輝,DeNA,0.222,21,65,63,14,1,3,1,0,0,13,2,1,0.222,0.302,0.524,1.92,1.95,2018
中川　大志,DeNA,0.228,47,62,57,13,2,7,0,5,0,21,0,3,0.29,0.404,0.694,3.30,3.29,2018
堂林　翔太,広島,0.216,63,60,51,11,0,5,0,2,0,14,7,1,0.245,0.314,0.559,1.85,1.80,2018
立岡　宗一郎,巨人,0.231,42,60,52,12,0,5,4,7,1,11,0,2,0.333,0.231,0.564,3.15,3.22,2018
岡　大海,日本ハム,0.154,28,60,52,8,0,7,5,4,2,12,2,3,0.241,0.212,0.453,1.32,1.38,2018
ディクソン,楽天,0.175,22,60,57,10,1,3,0,1,2,20,0,0,0.217,0.228,0.445,1.02,1.27,2018
安田　尚憲,ロッテ,0.151,17,60,53,8,1,7,0,7,0,20,0,0,0.25,0.264,0.514,2.09,2.26,2018
藤井　亮太,ヤクルト,0.275,38,59,51,14,0,4,1,5,1,12,2,0,0.351,0.314,0.665,3.48,3.44,2018
戸柱　恭孝,DeNA,0.179,25,59,56,10,1,6,0,2,0,9,1,3,0.207,0.268,0.475,0.85,0.96,2018
宇佐見　真吾,巨人,0.104,29,58,48,5,0,3,0,10,0,20,0,1,0.259,0.146,0.404,0.93,1.14,2018
髙谷　裕亮,ソフトバンク,0.173,73,57,52,9,1,4,0,1,1,11,3,1,0.204,0.25,0.454,1.07,1.22,2018
石川　亮,日本ハム,0.22,32,57,50,11,0,3,0,4,1,16,2,1,0.291,0.28,0.571,2.57,2.53,2018
伊志嶺　翔大,ロッテ,0.283,18,57,46,13,0,2,1,6,2,10,3,0,0.389,0.326,0.715,4.55,4.46,2018
堂上　直倫,中日,0.213,74,56,47,10,0,6,0,3,2,9,2,2,0.278,0.213,0.491,1.62,2.12,2018
三好　匠,楽天,0.104,70,54,48,5,0,0,0,3,0,15,3,2,0.157,0.146,0.303,-0.70,-0.48,2018
小島　脩平,オリックス,0.12,40,54,50,6,0,2,3,4,0,9,0,0,0.185,0.14,0.325,0.22,0.46,2018
武山　真吾,中日,0.068,30,54,44,3,0,6,0,5,0,17,2,0,0.154,0.114,0.267,-0.20,0.53,2018
上本　博紀,阪神,0.422,20,53,45,19,1,6,4,6,0,8,1,1,0.481,0.556,1.036,11.35,10.71,2018
田中　浩康,DeNA,0.188,31,52,48,9,0,3,0,2,1,7,1,3,0.235,0.208,0.444,0.61,0.69,2018
市川　友也,ソフトバンク,0.167,25,51,42,7,2,5,0,0,1,11,8,0,0.186,0.381,0.567,2.07,2.24,2018
村林　一輝,楽天,0.114,28,49,44,5,0,2,0,3,0,12,2,2,0.17,0.136,0.307,-0.71,-0.52,2018
宮本　丈,ヤクルト,0.22,26,48,41,9,0,6,0,5,0,11,1,1,0.298,0.244,0.542,2.39,2.69,2018
山崎　晃大朗,ヤクルト,0.184,23,47,38,7,0,0,1,6,0,12,3,1,0.295,0.237,0.532,1.95,2.10,2018
谷内　亮太,ヤクルト,0.222,36,46,45,10,0,7,0,0,0,9,0,1,0.217,0.289,0.506,1.62,1.78,2018
奥村　展征,ヤクルト,0.22,32,46,41,9,1,4,0,3,0,10,1,0,0.267,0.317,0.584,2.94,3.28,2018
根元　俊一,ロッテ,0.186,28,45,43,8,0,3,0,0,0,18,1,0,0.182,0.233,0.414,0.86,1.14,2018
八百板　卓丸,楽天,0.184,27,45,38,7,0,0,1,4,1,12,2,1,0.279,0.211,0.49,1.49,1.62,2018
塚田　正義,ソフトバンク,0.27,25,45,37,10,3,6,0,6,0,13,2,0,0.372,0.568,0.94,6.80,6.78,2018
メヒア,広島,0.268,22,44,41,11,3,7,1,2,1,12,0,2,0.318,0.537,0.855,4.96,4.99,2018
後藤　駿太,オリックス,0.216,33,43,37,8,0,4,2,3,2,12,1,0,0.31,0.216,0.526,2.53,2.67,2018
西岡　剛,阪神,0.125,25,43,40,5,0,1,0,3,0,10,0,0,0.186,0.2,0.386,0.62,0.73,2018
三木　亮,ロッテ,0.235,66,41,34,8,0,4,3,1,1,8,5,2,0.278,0.265,0.542,2.09,2.05,2018
太田　賢吾,日本ハム,0.194,54,41,36,7,0,5,0,2,0,11,3,1,0.237,0.306,0.542,1.84,1.89,2018
松井　稼頭央,西武,0.154,30,41,39,6,0,2,1,2,0,10,0,1,0.195,0.179,0.375,0.38,0.52,2018
江越　大賀,阪神,0.15,29,40,40,6,1,1,3,0,0,22,0,0,0.15,0.275,0.425,1.17,1.33,2018
板山　祐太郎,阪神,0.257,20,39,35,9,1,3,0,3,0,14,0,4,0.308,0.343,0.651,2.18,2.53,2018
森越　祐人,阪神,0.125,16,39,32,4,0,1,0,5,0,7,2,1,0.243,0.125,0.368,0.17,0.35,2018
美間　優槻,広島,0.139,30,38,36,5,0,1,0,1,0,11,1,2,0.162,0.139,0.301,-0.75,-0.59,2018
島田　海吏,阪神,0.2,12,37,35,7,0,1,0,1,0,7,1,0,0.222,0.286,0.508,1.51,1.57,2018
田代　将太郎,ヤクルト,0.323,73,36,31,10,1,2,4,4,0,9,1,0,0.4,0.419,0.819,5.55,5.55,2018
川瀬　晃,ソフトバンク,0.188,13,36,32,6,0,2,1,2,0,9,2,2,0.235,0.219,0.454,0.86,0.91,2018
小窪　哲也,広島,0.308,17,28,26,8,0,3,0,1,1,7,0,0,0.357,0.5,0.857,6.92,6.17,2018
石川　慎吾,巨人,0.192,17,28,26,5,0,0,0,2,0,6,0,1,0.25,0.308,0.558,1.99,2.00,2018
木下　拓哉,中日,0.12,16,28,25,3,1,2,0,3,0,9,0,0,0.214,0.28,0.494,1.70,1.89,2018
細谷　圭,ロッテ,0.182,21,27,22,4,0,1,1,4,0,3,1,0,0.308,0.227,0.535,2.98,3.07,2018
城所　龍磨,ソフトバンク,0.167,41,26,24,4,1,2,3,1,0,9,1,0,0.2,0.333,0.533,2.08,2.32,2018
関根　大気,DeNA,0.28,29,26,25,7,0,3,2,0,0,6,1,0,0.28,0.44,0.72,3.48,3.30,2018
阿部　寿樹,中日,0.217,18,26,23,5,0,4,0,3,0,3,0,1,0.308,0.348,0.656,3.28,3.08,2018
塩見　泰隆,ヤクルト,0.04,16,26,25,1,0,0,0,1,0,7,0,0,0.077,0.08,0.157,-1.54,-1.31,2018
宮本　秀明,DeNA,0.16,21,25,25,4,2,2,4,0,0,8,0,1,0.16,0.4,0.56,1.83,2.30,2018
三輪　正義,ヤクルト,0.118,25,24,17,2,0,1,0,2,0,4,5,0,0.211,0.118,0.328,0.50,0.68,2018
岩見　雅紀,楽天,0.0,12,24,24,0,0,0,0,0,0,14,0,2,0.0,0.0,0.0,-3.30,-3.13,2018
堀内　謙伍,楽天,0.174,12,24,23,4,0,2,1,1,0,1,0,0,0.208,0.261,0.469,1.79,1.90,2018
吉川　大幾,巨人,0.167,97,23,18,3,0,0,7,2,0,6,3,0,0.25,0.167,0.417,3.15,3.24,2018
鈴木　昂平,オリックス,0.176,43,22,17,3,0,0,0,0,2,4,3,1,0.263,0.176,0.44,0.85,0.96,2018
山崎　憲晴,阪神,0.222,32,22,18,4,0,2,0,1,0,4,3,0,0.263,0.278,0.541,2.27,2.21,2018
松井　佑介,中日,0.136,17,22,22,3,0,0,0,0,0,12,0,0,0.136,0.136,0.273,-0.65,-0.44,2018
細川　成也,DeNA,0.222,11,22,18,4,1,2,0,3,1,11,0,0,0.364,0.444,0.808,6.06,6.11,2018
曽根　海成,広島,0.278,11,22,18,5,0,2,1,2,1,9,1,0,0.381,0.389,0.77,6.04,5.86,2018
足立　祐一,楽天,0.111,20,20,18,2,0,0,0,1,0,4,1,1,0.158,0.111,0.269,-0.89,-0.69,2018
鵜久森　淳志,ヤクルト,0.294,19,20,17,5,0,3,0,1,0,5,0,1,0.3,0.353,0.653,3.20,4.16,2018
矢野　謙次,日本ハム,0.235,19,19,17,4,0,1,0,1,1,4,0,0,0.316,0.235,0.551,2.97,3.07,2018
若林　晃弘,巨人,0.056,17,19,18,1,0,0,0,1,0,6,0,0,0.105,0.056,0.161,-1.48,-1.18,2018
山田　遥楓,西武,0.059,14,19,17,1,1,2,0,1,1,6,0,0,0.158,0.235,0.393,0.56,1.06,2018
岡田　幸文,ロッテ,0.214,55,18,14,3,0,0,5,2,0,2,2,1,0.313,0.214,0.527,-0.17,0.26,2018
江村　直也,ロッテ,0.063,35,18,16,1,0,0,0,1,0,5,1,1,0.118,0.063,0.18,-1.62,-1.40,2018
熊谷　敬宥,阪神,0.231,19,18,13,3,0,2,3,2,0,3,3,1,0.333,0.231,0.564,2.12,2.21,2018
李　杜軒,ロッテ,0.188,11,18,16,3,0,3,0,2,0,8,0,0,0.278,0.25,0.528,2.37,2.43,2018
大嶺　翔太,ロッテ,0.294,10,18,17,5,0,0,1,1,0,8,0,0,0.333,0.294,0.627,4.32,4.23,2018
工藤　隆人,中日,0.133,73,17,15,2,0,1,3,0,1,7,1,0,0.188,0.133,0.321,0.41,0.67,2018
武内　晋一,ヤクルト,0.286,15,16,14,4,1,3,0,2,0,2,0,0,0.375,0.571,0.946,8.12,7.88,2018
坂本　誠志郎,阪神,0.154,15,16,13,2,0,1,0,2,0,7,0,0,0.25,0.231,0.481,1.94,2.75,2018
フェルナンド,楽天,0.188,11,16,16,3,0,0,0,0,0,5,0,0,0.188,0.188,0.375,0.46,0.60,2018
伊藤　光,オリックス,0.0,7,16,13,0,0,0,0,2,0,3,1,1,0.133,0.0,0.133,-1.81,-1.51,2018
髙橋　大樹,広島,0.333,6,16,15,5,0,0,0,1,0,4,0,1,0.375,0.4,0.775,4.71,4.32,2018
庄司　隼人,広島,0.0,12,15,14,0,0,0,0,1,0,2,0,0,0.067,0.0,0.067,-2.14,-1.81,2018
古賀　優大,ヤクルト,0.077,7,15,13,1,0,1,0,1,0,2,1,1,0.143,0.077,0.22,-1.34,-1.14,2018
杉本　裕太郎,オリックス,0.25,7,14,12,3,2,8,0,1,1,3,0,0,0.357,0.833,1.19,10.39,10.35,2018
村上　宗隆,ヤクルト,0.083,6,14,12,1,1,2,0,2,0,5,0,0,0.214,0.333,0.548,2.13,2.68,2018
金子　一輝,西武,0.357,6,14,14,5,1,2,0,0,0,3,0,1,0.357,0.643,1.0,5.37,5.25,2018
上本　崇司,広島,0.091,59,13,11,1,0,0,6,1,0,4,1,0,0.167,0.091,0.258,0.35,0.81,2018
荒波　翔,DeNA,0.0,11,13,11,0,0,0,0,2,0,4,0,0,0.154,0.0,0.154,-1.93,-1.49,2018
岡﨑　太一,阪神,0.0,6,13,11,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,-2.15,-1.93,2018
髙濱　卓也,ロッテ,0.25,10,12,12,3,0,0,0,0,0,2,0,0,0.25,0.25,0.5,2.00,2.01,2018
吉田　裕太,ロッテ,0.1,8,12,10,1,0,0,0,1,0,2,1,0,0.182,0.1,0.282,-0.11,0.14,2018
呉　念庭,西武,0.091,8,11,11,1,0,1,0,0,0,5,0,0,0.091,0.091,0.182,-1.43,-1.19,2018
熊代　聖人,西武,0.0,25,10,9,0,0,0,1,1,0,4,0,0,0.1,0.0,0.1,-1.35,-0.96,2018
大村　孟,ヤクルト,0.125,9,10,8,1,0,0,0,2,0,4,0,0,0.3,0.25,0.55,2.78,2.85,2018
辻　東倫,巨人,0.1,8,10,10,1,0,0,0,0,0,1,0,1,0.1,0.1,0.2,-2.00,-1.86,2018
島井　寛仁,楽天,0.0,49,9,9,0,0,0,6,0,0,4,0,1,0.0,0.0,0.0,-2.96,-2.26,2018
栗原　陵矢,ソフトバンク,0.111,11,9,9,1,0,0,0,0,0,4,0,0,0.111,0.111,0.222,-1.08,-0.84,2018
長坂　拳弥,阪神,0.125,9,9,8,1,0,0,0,0,0,1,1,0,0.125,0.25,0.375,0.44,0.41,2018
坂倉　将吾,広島,0.125,9,9,8,1,0,1,0,1,0,1,0,0,0.222,0.25,0.472,1.61,1.62,2018
平沼　翔太,日本ハム,0.333,7,9,9,3,0,0,0,0,0,2,0,0,0.333,0.444,0.778,5.83,5.22,2018
岩本　貴裕,広島,0.143,10,8,7,1,0,0,0,1,0,2,0,1,0.25,0.143,0.393,-0.50,-0.35,2018
野本　圭,中日,0.125,8,8,8,1,0,1,0,0,0,1,0,0,0.125,0.25,0.375,0.33,0.31,2018
和田　恋,巨人,0.125,5,8,8,1,0,0,0,0,0,4,0,0,0.125,0.125,0.25,-0.85,-0.62,2018
飛雄馬,DeNA,0.143,4,8,7,1,0,0,0,1,0,3,0,0,0.25,0.143,0.393,-0.53,-0.15,2018
